"","txt"
"78","                                                                                       7. Joint operations and taskforces – 77
                  Recovery Agency and Kenya Revenue Authority. The framework focuses on
                  co-operation for the investigation and prosecution of corruption, economic crime,
                  and organised crime. Under this framework, in appropriate cases, some or all of
                  these agencies conduct joint investigations.
              •   Respond to data leaks such as the “Panama Papers”. In 2016, the United Kingdom
                  established a multi-agency taskforce to deal with intelligence following the release of
                  the so-called “Panama Papers”. The Taskforce has advanced the United Kingdom’s
                  understanding of the complex and contrived structures that are being developed
                  to mask offshore tax evasion and economic crime, and. as set out in Box 7.1, the
                  taskforce has already produced a number of successful results.
                        Box 7.1. Establishment of a multi-agency taskforce to deal with
                                       the Panama Papers – United Kingdom
                 The cross-agency Taskforce established in response to the Panama Papers included
            secondees from Her Majesty’s Revenue and Customs (HMRC), the Serious Fraud Office, the
            National Crime Agency, and the Financial Conduct Authority. HMRC reports that work on the
            Panama papers has resulted in a number of ongoing enforcement actions including civil and
            criminal investigations into over 140 individuals for suspected tax offences. It also notes that
            the Taskforce has also acted as a catalyst for uniting closer and wider inter-agency co-operation
            both domestically and internationally. HMRC reflects that its participation on the Taskforce
            has enabled it to better understand offshore tax evasion and economic crime activities. For
            example, it now knows much more about the role and behaviours of company formation agents
            in facilitating offshore evasion. HMRC continues to work collaboratively ‎ with international
            colleagues through other legal mechanisms. For example, a new alliance dedicated to tackling
            international tax crime and money laundering known as the J5, which includes government
            agencies from Australia, the United States, the Netherlands, Canada and the United Kingdom.
              •   Co-ordinate co-operation between the tax authority and police at the national
                  and regional levels to combat tax crime. In the Czech Republic, in 2014, the
                  Ministry of Finance and the Ministry of Interior made an agreement on co-operation,
                  information sharing, and co-ordination in combating tax evasion and tax crime with
                  the ultimate aim of protecting the state budget. The Financial Authority (national and
                  regional arms), Customs Administration (national General Directorate of Customs
                  and regional offices of customs administration) and the police (National Organised
                  Crime Agency, Financial Crime Command, Tax Crime Division and the economic
                  crime divisions of regional police directorates) co‑operate under this agreement
                  in what is known as the Tax Cobra Strategy. It is a permanent arrangement that
                  facilitates reciprocal exchanges of information and co-ordinates efforts to fight tax
                  crime utilising the skills of tax officials and police (including those responsible for
                  economic crimes such as corruption). Formal meetings of management are held
                  monthly and discuss overarching strategic issues, assess joint activities and identify
                  cases for joint investigation. Informal, working level meetings in specific cases
                  occur as needed. The Strategy focuses on serious cases of tax crime and other related
                  criminal activity that supports it, such as corruption.
              •   Promote federal and state level co-operation against tax crime and corruption.
                  In Brazil, joint taskforces comprised of the federal police, federal and state
IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"79","78 – 7. Joint operations and taskforces
                   prosecutors, tax and customs administration, and the Comptroller General are
                   regularly established and used to investigate tax crime and corruption.
               •   Combat organised crime through tax and anti-corruption enforcement. In
                   Israel, a unit dedicated to the fight against organised crime (referred to by its
                   acronym “Yahalom” – the Hebrew word for diamond) was established in 2011
                   within the tax administration’s Investigations Unit and is composed of tax authority
                   investigators and members of the Israeli Police. This designated investigative unit
                   of the tax authority is intended to focus its intelligence gathering and investigatory
                   efforts on financial offences, including, inter alia, bribery, forgery, and false
                   invoices in which criminal organisations may be involved or implicated. It was
                   created pursuant to a 2007 Government Decision on combating organised crime. A
                   wide range of investigative techniques are at Yahalom’s disposal so as to ensure the
                   unit has all the tools and techniques necessary to perform its tasks.
               •   Co-ordinate the fight against financial crime. The Malaysian National Revenue
                   Recovery Enforcement Team (NRRET) works to combat tax crimes and other
                   financial crimes and is headed by the Attorney General Chambers. NRRET
                   members include Inland Revenue Board of Malaysia, the Company Commission
                   Malaysia, Central Bank of Malaysia, Malaysian Anti-Corruption Commission and
                   Royal Customs Department. The role of the NRRET is to improve co-operation
                   among law enforcement authorities to ensure a holistic approach on development,
                   good governance and anti-corruption as well as to assist authorities in combating
                   financial crimes, and in particular tax evasion and money laundering. The
                   NRRET also monitors the sharing of information and the planning of joint
                   operations between authorities. In Australia, the multi-agency Serious Financial
                   Crime Taskforce includes the AFP, ATO, and several other intelligence, policy,
                   enforcement, and regulatory agencies. It has operational, intelligence, and reform
                   functions, and is explained further in the examples below.
Benefits of joint operations and taskforces
           141. Countries that have experience using joint operations or taskforces report significant
           benefits with respect to both tax crime and corruption investigations. Looking across the
           practices and experiences of all countries participating in this report, the major benefits of
           joint operations and taskforces can be grouped as follows:
               •   increased enforcement capacity
               •   broader set of investigative powers, tools, and offenses
               •   sharing of resources
               •   de-conflicting enforcement action
               •   undertaking simultaneous action
               •   enhancing information sharing, and
               •   increasing deterrence.
   IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"80","                                                                                       7. Joint operations and taskforces – 79
         (i) Increased enforcement capacity
         142. When corruption and tax crime investigation authorities come together in a joint
         operation or taskforce, their strength and capacity is increased because the field of inquiry is
         expanded and the level of expertise applied to it is broadened. Joint operations and taskforces
         can multiply the strength and capacity of an investigation by enabling separate authorities
         to capitalise on each other’s unique expertise, skills, technical knowledge, investigative
         techniques, and investigative powers. Working together in this way is particularly relevant
         to investigations into misconduct that span offences against tax and anti-corruption law. For
         example, a bribery scheme in which the bribe payments are incorrectly claimed by the bribe
         payer as tax deductible or not declared by the bribe recipient contrary to tax obligations.
         This form of co-operation can have significant positive implications for joint strategic
         intelligence and for setting a strategy to optimise law enforcement outcomes. Regarding
         intelligence, for example, the tax investigator may see in a financial statement evidence of
         a tax crime not immediately apparent to a corruption investigator. Similarly, a corruption
         investigator may suggest charging an offence that would not have been in the mind of the
         tax investigator.
         143. This form of joint approach is highly beneficial to tackling complex financial crime
         schemes, which often involve tax crime and corruption. It allows investigators to work
         together to unpack multiple financial transactions, examine multiple corporations and
         individuals involved in the scheme, determine where the evidence more clearly indicates
         one type of crime over another, and set the case strategy appropriately. The joint approach
         may also be applicable to more simple cases of tax crime and corruption, particularly
         a group of related cases. Israel explains that it uses joint operations regularly because
         “There is notable improvement in the quality of information and its diversification as
         well as the quality of ‘cracking’ cases. Co-operation has brought multiplication of power.
         Each enforcement authority has a relative advantage in terms of thinking and in its nature
         of exercising authority. Combining these differences improves enforcement and creates
         enhanced ‘deterrence’.”
         (ii) Broader set of investigative powers, tools and offences.
         144. As discussed in Chapter 4, tax crime investigators have specialised knowledge of
         financial and tax arrangements. They are trained and experienced in investigating tax
         crimes and familiar with identifying these types of offences in the tax returns, books, or
         records of companies and individuals. They generally have the power to charge offences
         or recommend charges relating to the tax code of a country. On the other hand, corruption
         investigators are familiar with corruption schemes, perhaps involving bribery of domestic
         or foreign public officials, bribery in the private sector, embezzlement, misappropriation
         of property by a public official, trading in influence, abuse of functions, illicit enrichment
         or money laundering. Corruption investigators may charge offences or recommend charges
         pursuant to corruption offences in a country’s criminal law. Joint investigations more
         readily enable investigators to identify tax and corruption offences and thus make tactical
         decisions about which charges they want to advance based on litigation speed and potential
         outcomes. This, in turn, reduces tensions that stem from potential conflicts concerning
         deliverables and statistics.
IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"81","80 – 7. Joint operations and taskforces
           (iii) Sharing of resources and de-conflicting enforcement action.
           145. Joint operations and taskforces also achieve greater efficiency by allowing the
           sharing of resources and ensuring no duplication of enforcement efforts. For example, one
           authority may have analytical software that would not otherwise be available to the other
           except in the context of the joint work. Joint efforts also promote better co-ordination
           between authorities, thus reducing the risk of different enforcement actions by separate
           authorities coming into conflict with each other. Efficiency is further increased by enabling
           officials from each agency to focus on different aspects of an investigation in a well-co-
           ordinated manner, based on their experience and legal powers.
           (iv) Simultaneous actions.
           146. Joint operations allow for the sharing of information and intelligence on a real-time
           basis and enable authorities to conduct co-ordinated simultaneous actions, such as asset
           freezing or recovery, search and seizure, surveillance, charging, and prosecution.
           (v) Enhanced information sharing
           147. Joint operations also promote better information sharing, although there may be
           restrictions placed on information that is shared between authorities during an investigation.
           Better information sharing occurs in joint investigations by virtue of investigators working
           more closely with each other. A tax investigator may more readily identify where tax
           records and bank account/asset information could assist a corruption investigation if the
           tax investigator is actually involved in the investigation. Similarly, the joint nature of the
           work may prompt a corruption investigator to share information gleaned from an earlier or
           separate ongoing investigation that is relevant to the joint operation. In some circumstances,
           joint operations or taskforces may even allow for wider gateways for sharing information
           between authorities than would ordinarily be available.
               Box 7.2. Examples of wider information sharing gateways in joint operations –
                                           Canada and the United States
                  In Canada, joint working arrangements such as Joint Forces Operation and Combined
             Forces Special Enforcement Unit (an integrated, multidisciplinary team that is tasked with
             investigating major crime in partnership with local, national and international agencies) provides
             the police with a means to share all information with the Canada Revenue Agency (CRA)
             investigators, where such sharing would not otherwise be possible. For example, information
             obtained by police wiretap can be shared with the CRA under specific circumstances and
             can provide invaluable tax and financial information that otherwise would not be available to
             the CRA.
                  In the United States, the tax administration has greater power to share tax information
             with other law enforcement agencies when it is participating in a joint criminal investigation
             with these agencies. This information may not be shared with agencies outside of the joint
             investigation.
  IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"82","                                                                                       7. Joint operations and taskforces – 81
         (vi) Deterrence
         148. Joint operations and taskforces can achieve greater deterrence of tax crime and
         corruption. Greater deterrence is a function of more robust law enforcement activity and
         the joint public messaging that goes with it. The message that tax crime and corruption
         will be detected and robustly investigated and prosecuted can be far stronger when it comes
         from both the anti-corruption and tax authorities in the context of a joint operation or
         taskforce. Accordingly, effective public promotion of a successful major joint operation or
         taskforce is a powerful tool in awareness raising and deterring misconduct.
Challenges posed by joint operations and taskforces
         149. Joint operations and taskforces are not suited to every tax crime or corruption
         investigation for a number of reasons. In most minor cases, it is simply unnecessary and
         inefficient to consider this level of co-operation, unless a taskforce may help authorities
         deal with a number of similar or related cases. Further, setting up and running joint
         investigative work requires investment of time, resources, and potentially commitment
         of political will (for example to amend the law to allow wider gateways for information
         sharing). Although joint investigations may offer substantial cost savings, for example by
         avoiding duplicative investigative measures, they could also incur costs related to logistical
         and technical support and other administrative matters depending on the set up of the
         operation or taskforce. These considerations may be applied on a case-by-case basis.
         150. Several of the general challenges to improved co-operation mentioned in Chapter 5
         also apply to joint operations and taskforces. Some of these challenges, such as information
         sharing and issues of trust, are heightened in the particular context of joint work. Information
         sharing is a key consideration when setting up a joint operation or taskforce because the
         ability to share information freely is critical to success. In particular, any restrictive rules
         regarding information sharing should be identified early and may mean that a joint operation
         cannot be effectively established.
                         Box 7.3. Challenges posed by joint operations – South Africa
                 For example, in South Africa, law enforcement agencies frequently co-operate when
            investigating financial crimes through joint investigation teams, comprising specialists
            from each agency. However, the team would not generally include the tax administration. In
            cases where the tax administration does assign tax officials to joint investigation teams, the
            official is unable to use any special legislative powers held by virtue of their position as a tax
            administration employee. More often, where suspected criminal activities include tax and non-
            tax offences, the tax administration does co-operate with other agencies by running its own
            parallel investigation and sharing information with the joint investigation team.
         151. The need for authorities to trust each other is another challenge that must be dealt
         with in the joint investigation setting. In the absence of trust, the joint investigation is likely
         to fail. Trust may be difficult to establish where, for example, an authority is concerned
         about a partner authority’s independence or its ability or willingness to follow proper
         procedures, protect confidential information or to use information appropriately.
IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"83","82 – 7. Joint operations and taskforces
           152. Countries have also identified that working on a joint operation or taskforce may bring
           practical challenges. These include managing competing priorities between authorities;
           working among unfamiliar cultural, technical, or structural surrounds; and reaching
           agreement on key aspects of a case as it develops, for example setting a shared investigation
           strategy or deciding which charges to bring in a particular case. A related challenge that
           may be particular to developing countries is resource and capacity imbalance between their
           authorities. For example, if a tax investigation authority has far greater resources than a police
           authority (e.g. for investigations, support staff, training, technical resources etc.) – forming a
           joint operation could be particularly difficult.
Successful processes for establishing joint operations
           153. The following are a set of processes for effectively establishing joint operations and
           taskforces in the fight against tax crime and corruption that have proven successful in
           several jurisdictions. These examples are based on the country experiences examined for
           this report and discussed earlier in this chapter. Authorities interested in participating in a
           joint operation or taskforce to combat tax crime and corruption should:
               •   Determine whether there is an adequate legal basis. Consider, for example,
                   whether an explicit legislative basis for establishing a joint investigation exists and, if
                   not, whether one is required. It may be necessary to amend legislation in this regard.
               •   Identify the legal gateway for information sharing. The ability to share
                   information freely between authorities is an important feature of successful joint
                   operations and taskforces. Existing rules may need to be amended to provide
                   for this and procedures put in place to ensure taxpayer rights are protected and
                   information is exchanged lawfully.
               •   Examine practical issues. Key topics to examine include the relevant differences
                   in each authority’s approach to investigations and prosecutions. What informs
                   the investigation strategy and what investigative steps are given priority? How
                   are targets prioritised? How are charging decisions made? When are suspects
                   confronted and what steps are taken to avoid tipping them off? As part of this
                   discussion, authorities should also identify shared goals and priorities as well
                   as any competing interests. Naturally, tax authorities are more likely to support
                   the joint operation pursuing tax evasion and anti-corruption authorities pursuing
                   the corruption. Beyond these issues, authorities may also have different strategic
                   interests, for example priority targets based on sectors or particular types of
                   misconduct. All of these issues should be identified and discussed early and
                   measures adopted to mitigate them. Other practical issues for discussion include
                   internal management and approval structures, legal procedures, sharing of costs,
                   evidence preservation measures and dispute resolution mechanisms.
               •   Consider the extent to which arrangements should be formalised in writing. For
                   example, through an overarching memorandum of understanding or a case specific
                   agreement. The structure of the arrangement may be tailored in any number of ways
                   to meet the needs of the participating authorities and to fit the circumstances of the
                   investigation or taskforce. However, in general, the written agreement (if any) should
                   clearly define the roles of the participating authorities and the general purpose of the
                   joint investigation (noting that if the document could be discoverable, it should not
                   be drafted in a way that it would tip off targets). It could also address any liability
                   issues, such as who is financially liable if investigative measures give rise to claims
                   against the joint investigation for damages.
  IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"84","                                                                                       7. Joint operations and taskforces – 83
         154. Many countries are already using joint investigation teams and taskforces to
         enhance co-operation in the investigation of tax crime and corruption. 1 The following case
         examples from Australia and the United States help to demonstrate this trend and to show
         the real-life application of joint operations and taskforces.
                       Box 7.4. Successful multi-agency taskforce in practice – Australia
                 The Serious Financial Crime Taskforce (SFCT) is a multi-agency taskforce targeting
            Serious Financial Crime in Australia and builds on the success of Project Wickenby in
            addressing international tax evasion. The SFCT includes the AFP, the ATO, and several other
            intelligence, policy, enforcement and regulatory agencies. The heads of each Taskforce agency
            meet regularly to provide governance and focus for cross agency collaborative efforts.
                 The Taskforce forms part of the Fraud and Anti-Corruption Centre, which is led by the
            AFP.* The Taskforce brings together the agencies’ strategic and operational level intelligence,
            capacity, and capability to identify and treat serious financial crime.
                 The SFCT focuses on operational activities, intelligence collection and sharing, and
            identifying and initiating reform measures. It works to remove wealth generated by criminal
            activity, including tax crime and corruption, and to prosecute facilitators and promoters of serious
            financial crime. Offences targeted by the SFCT relate to serious fraud, money laundering, and
            defrauding the Commonwealth. The current priorities include criminality related to international
            tax evasion, fraudulent phoenix activity, trusts, and superannuation.
                 The SFCT commenced on 1 July 2015 and is progressing 31 criminal, civil, and intelligence
            matters. The following is a snapshot of results to 30 June 2018:
                           •   137 search warrants executed
                           •   824 audits completed
                           •   7 prosecutions commenced
                           •   5 people convicted
                           •   AUD 599.34 million in tax liabilities raised
                           •   AUD 232.16 million recouped
            *See www.afp.gov.au/what-we-do/crime-types/fraud/fraud-and-anti-corruption.
                         Box 7.5. Successful joint operation in practice – United States
                 The Federation Internationale de Football Association (FIFA) corruption investigation is an
            example of a successful inter-agency co-operation in the United States, not only between tax
            authorities and anti-corruption authorities, but also with foreign law enforcement counterparts
            which provided valuable assistance. The 24-year scheme was investigated by IRS-Criminal
            Investigation (IRS-CI) along with the Department of Justice (DOJ) and the Federal Bureau of
            Investigation (FBI). The scheme involved bribery, money laundering conspiracies, wire fraud,
            and other illicit activities among high ranking FIFA officials and corporate executives.
IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"85","84 – 7. Joint operations and taskforces
                  Box 7.5. Successful joint operation in practice – United States (continued)
                  The officials received bribes and kickbacks in exchange for votes to determine the host
             nation for world cup tournaments as well as votes to award lucrative contracts for media and
             marketing rights to international soccer tournaments. The payment of the bribes and kickbacks
             were disguised using various mechanisms such as fabrication and back dating of contracts
             to create an appearance of legitimacy for the illicit payments. Shell companies were formed
             and held offshore accounts to conceal the true source of the payments. Trusted intermediaries
             were used to facilitate the bribe payments. Nominees and numbered accounts were used and
             opened at countries known to be tax havens and at other secretive banking jurisdictions. The
             investigation has resulted in some guilty pleas of individuals involved. Charles Blazer, former
             member of the FIFA executive committee used his position for personal gain. Blazer failed to
             file U.S individual income tax returns for tax years 2005 through 2010, failed to pay income
             tax and engaged in affirmative acts of evasion. Blazer pleaded guilty to charges of, among
             others, income tax evasion and failure to file a Report of Foreign Bank and Financial Accounts.
                                                             Note
1.         Countries covered in the Rome Report that are using joint investigation teams to enhance inter-
           agency co‑operation include Australia, Austria, Azerbaijan, Brazil, Burkina Faso, Canada,
           Czech Republic, Denmark, El Salvador, Finland, Germany, Ghana, Greece, Hungary, India,
           Israel, Japan, Malaysia, Netherlands, Portugal, Singapore, Slovenia, South Africa, Spain,
           Turkey and the United States.
   IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"86","                                                                                      8. Other co-ordination mechanisms – 85
                                                         Chapter 8
                                     Other co-ordination mechanisms
         155. This chapter presents additional mechanisms to enhance information sharing and
         other forms of co-operation between tax authorities and anti-corruption authorities:
              •   Parallel investigations
              •   Other structured co-ordination fora
              •   Joint intelligence centres
              •   Staff secondments
              •   Reviewing the tax affairs of persons sanctioned for corruption
              •   Registers for the income and assets of public officials
         156. Each of these different co-ordination mechanisms advances co-operation between
         authorities in different ways. Parallel investigations are tools for promoting better
         co-ordination of operational activities. Other structured co-ordination fora are used to
         develop overarching capabilities and strategies of relevance to both tax authorities and
         anti-corruption authorities. Joint intelligence centres serve an operational function, but
         are focused specifically on the collection, analysis, and distribution of intelligence. Staff
         secondments enable individual officers to gain first-hand, on-the-job experience of the
         other authority and to strengthen professional networks. Calling on the tax authority to
         review the tax affairs of persons sanctioned for corruption ensures the financial benefits
         derived from corruption are stripped from offenders. Finally, registers for the income and
         assets of public officials (which in some countries are administered by the tax authority or
         anti-corruption authority) may be used to help detect tax crime or corruption and may hold
         other useful information for investigators.
Parallel investigations
         157. A parallel investigation enables two or more separate authorities to co-ordinate some
         key operational activities in cases that involve a combination of corruption, tax crime or
         other tax-related misconduct. While authorities work more closely in a joint operation;
         a parallel investigation may still allow a degree of co-ordination and may be a more
         appropriate vehicle for co-operation in circumstances where a joint operation would be
         impractical or undesirable, as discussed below.
         158. In a parallel investigation, tax authorities and anti-corruption authorities maintain
         their own separate investigations, but to the extent possible, co-ordinate their actions
         simultaneously. Parallel investigations differ from joint operations (see chapter 7) because
         they involve two or more separate sets of investigations under the management of separate
IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"87","86 – 8. Other co-ordination mechanisms
          regulatory or enforcement bodies. As such, parallel investigations involve a lower level
          of integration among the different investigative authorities. Depending on the level of
          co-ordination, authorities engaged in parallel investigations may (subject to applicable
          information sharing rules) share investigative leads, intelligence, and evidence, and
          interview witnesses and settle pleadings together. Parallel investigations may also allow
          authorities to make some operational decisions jointly, for example, dividing broad elements
          of an investigation and charging decisions.
          159. The decision to use a parallel investigation rather than a joint operation may have
          a genuine operational basis. For example, where the high level of co-ordination achieved
          by a joint investigation is unnecessary, or a joint investigation cannot be pursued because
          of requirements that civil and criminal investigations be separated. In some countries,
          the law prohibits use of civil tax information for a separate criminal purpose, such as
          using civil tax information for a corruption investigation. A parallel investigation in this
          circumstance may more readily safeguard inappropriate disclosure of tax information while
          still maintaining co-ordination with the anti-corruption authority.
          160. Parallel investigations can also be used to pursue simultaneous civil and criminal
          investigations, which could not be pursued as a joint operation. Most countries require civil
          and criminal investigations to remain separate, but the authorities may still co-ordinate
          their efforts and share information in a parallel investigation. In doing so, authorities must
          be careful to respect due process, for example, by ensuring any disclosure obligations
          to the suspect are met and that criminal processes are not used as a pretext to obtain
          information for a civil investigation and vice versa. A defendant who co‑operates with a
          civil investigation may need to be advised that their co-operation could potentially be used
          for a criminal investigation.
          161. A parallel investigation may also be preferable for procedural or strategic reasons
          if a jurisdiction has technical legal rules that lead to undesirable consequences from joint
          investigations. These considerations generally relate to procedural issues and need to
          be assessed by each country on a case-by-case basis. Generally speaking, maintaining
          distinct investigations has merits where the authorities expect to conduct their own separate
          prosecutions. For example, if the investigations are distinct, the court is less likely to expect
          the authority bringing the prosecution to know all of the materials residing in the other
          authority’s files. In another example, one authority may enjoy procedural advantages not
          available to the other, such as disclosure protections, that they can preserve by maintaining
          a distinct parallel investigation.
          162. Unfortunately, in other circumstances, an authority may choose a parallel investigation
          over a joint one due to a dysfunctional relationship with another authority. One authority
          may wish to limit or control the other’s involvement because of poor relations between
          management, distrust, lack of belief in the other agency’s ability, or concern that another
          authority may take credit for a particular case. It may be necessary for authorities to take
          steps to build trust, develop closer ties, and achieve a better understanding of each other’s
          approaches before progressing from parallel to joint investigations.
          163. Well-co-ordinated parallel investigations can enhance co-operation between tax
          authorities and anti-corruption authorities, but this is unlikely to be to the same extent as
          joint operations. In general, they do not enable authorities to directly draw on the wider
          range of skills and experiences that they could offer each other and may also lead to work
          being duplicated. As the parties to parallel investigations do not work as closely together,
          they tend to be less effective at building strong networks between authorities.
  IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"88","                                                                                      8. Other co-ordination mechanisms – 87
Other structured co-ordination fora
         164. Countries may choose to establish other structured co-ordination fora in order to
         develop particular capabilities (for example crime fighting strategies, threat assessments, or
         detection of crime) or to co-ordinate at a strategic (non-operational) level the fight against
         specific types of crime (such as foreign bribery cases, national security threats or organised
         crime). Unlike taskforces, which were considered in the previous chapter, these fora do not
         have a direct operational role. Instead, they enable a particular issue to be examined jointly
         by several authorities and for those authorities to contribute to shared solutions.
         165. Countries have developed a range of other co-ordination mechanisms and applied
         them to tax and anti-corruption collaboration. The structure of these mechanisms can be
         moulded to the needs and circumstances of each authority. What they have in common
         is that each brings together tax, anti-corruption, and other authorities at regular intervals
         for structured analysis or discussions on issues to advance a shared objective. In practice,
         these fora vary considerably and have been used by both tax authorities and anti-corruption
         authorities:
              •   Develop inter-agency crime fighting strategies. In Finland, the steering group for
                  the prevention of economic crime includes representatives from different authorities,
                  including the prosecution service, the police, the customs administration, and the
                  tax administration, as well as from a number of ministries. The steering group
                  meets on a regular basis and has, among other things, prepared the National
                  Strategy for Tackling the Shadow Economy and Economic Crime for 2016-2020.
              •   Assess threats. In Lithuania, the Financial Crimes Investigations Service and the
                  State Tax Inspectorate have established the Risk Analysis Centre, which includes
                  officials from both authorities, and since 2014, includes the Customs Department
                  under the Ministry of Finance. The Risk Analysis Centre analyses information
                  received from all participating authorities, and makes proposal for competent
                  authorities to carry out operational activities and conduct pre-trial investigations.
                  It analyses and exchanges information between the institutions to identify threats
                  to the country’s financial system and tax collection, and to identify tax evasion,
                  corruption and other criminal conduct.
              •   Proactively detect misconduct. Lithuania’s Risk Analysis Centre also co-ordinates
                  common operations in order to prevent, detect, and investigate tax law violations
                  or crimes. Upon the detection of possible tax evasion or other criminal activity,
                  it informs the relevant law enforcement authority, gives suggestions on priority
                  actions, and conducts further enquiries with respect to the facts it has uncovered.
              •   Co-ordinate bribery cases. In Israel, an inter-ministerial team headed by the
                  Director of the Department of Criminal Affairs in the State Attorney’s Office
                  monitors and co-ordinates the examination of information regarding suspected
                  bribery of foreign public officials. The team meets periodically with representatives
                  from a range of law enforcement and regulatory authorities, including the tax
                  authority. The work of the team does not replace the work of the Israeli Police and
                  other law enforcement authorities in investigating foreign bribery; rather it provides
                  a practical co-ordination and advisory role.
              •   Co-ordinate security related cases. Ghana uses inter-agency co-operation to
                  promote national security. At the national level, it has established a forum that
                  comprises the customs division of Ghana Revenue Authority and the Economic
IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
"89","88 – 8. Other co-ordination mechanisms
                  and Organised Crime Office. This forum is supported by a second-tier meeting
                  comprising those same two authorities, the police, CID and Ministry of Finance.
              •   Distil lessons from past investigations. In Austria, based on an inter-institutional
                  agreement between the Federal Ministry of Finance and the Federal Ministry of
                  the Interior, meetings between the investigators of the Federal Bureau of Anti-
                  Corruption and of the Tax Investigation Department take place approximately
                  twice per year. The main objective of these meetings is the exchange of feedback
                  concerning cases that are being investigated by both authorities. Investigators from
                  the two authorities do not work collaboratively on cases, but share feedback and
                  experiences once a case is completed.
Joint intelligence centres
          166. Joint intelligence centres are a co-ordination mechanism that countries should
          consider adopting to add efficiency and overarching perspective to the collection, analysis,
          and distribution of intelligence. They are a particularly effective tool for identifying
          connections and trends between sets of data held by separate authorities and for developing
          a whole of government approach to combating financial crime. They may also add value in
          circumstances where an individual agency is unable to effectively manage the large volume
          of available intelligence or where multiple agencies have overlapping intelligence functions
          that could be centralised. To run effectively, information sharing rules may need to be
          adjusted to enable the centre to receive and handle intelligence from multiple agencies.
          167. Joint intelligence centres collect, store, and analyse information and co-ordinate
          the sharing of it between agencies. The benefit of such centres lies in their ability to pool
          experts from a wider range of fields than each agency would typically be able to employ
          and provide access to intelligence that would not otherwise have been available to each
          participating agency. By centralising the function of data analysis, joint intelligence centres
          can look across a wider spectrum of financial crime data than individual authorities acting
          on their own, and can more easily identify trends or individual cases where corruption and
          tax crime overlap. A further benefit is that these centres may improve the effectiveness
          of existing gateways for providing information as tax and anti-corruption officials within
          the centres gain experience in the legal and practical aspects of information sharing and
          develop professional contacts for future co-operation.
          168. Joint intelligence centres may be configured in various ways depending on their
          purpose and the information sharing framework in which they operate. In general, the
          key decisions regarding establishing a joint intelligence centre concern its organisation,
          purpose, function and data sources:
              •   Organisation: standalone body vs. unit of an existing agency. A standalone
                  body requires setting up a suitable governance and decision-making framework,
                  for which special laws regarding information sharing may be necessary. It may
                  also require establishing a new legal entity or government agency. Alternatively,
                  it may be established on a more informal basis, for instance an exchange of letters
                  or memorandum of understanding between participating authorities. It can employ
                  staff or work on the basis of secondments from other authorities, or a mix of both.
                  Having a standalone body generally gives the centre greater independence from
                  any one agency and would tend to be more suitable to a centre with a broad, cross-
                  cutting purpose. A unit of an existing agency is generally more straightforward
                  to establish and often enables the host agency to play a strong role in leading the
  IMPROVING CO-OPERATION BETWEEN TAX AUTHORITIES AND ANTI-CORRUPTION AUTHORITIES IN COMBATING TAX CRIME AND CORRUPTION © OECD 2018
"
